strategy,budget_pct,run,n_labeled,accuracy,f1_score,avg_query_time,avg_train_time
Random Sampling,0.2,0,12000,0.9893,0.9892352630237458,0.022191462309464165,1.5051089680713157
Random Sampling,0.2,1,12000,0.9901,0.9900480915516982,0.022069951762323795,1.4967220451520837
Random Sampling,0.2,2,12000,0.9906,0.9905500083456837,0.022029762682707413,1.4989633871161419
Random Sampling,0.2,3,12000,0.9899,0.989848419263075,0.022119397702424423,1.4997515989386516
Random Sampling,0.2,4,12000,0.9896,0.9895690242183847,0.022195567255434784,1.4992023343625276
Random Sampling,0.4,0,24000,0.9927,0.9926385811221946,0.02001095325388807,3.004892831153058
Random Sampling,0.4,1,24000,0.9932,0.9931476891400758,0.01988470807988593,3.0247637769009206
Random Sampling,0.4,2,24000,0.9944,0.9943442616379403,0.020064019142313205,3.032645585689139
Random Sampling,0.4,3,24000,0.9936,0.9935498939452685,0.020187154729315576,3.038960969194453
Random Sampling,0.4,4,24000,0.994,0.9939434854052795,0.020016360790171522,3.044936885225012
Random Sampling,0.6,0,36000,0.9949,0.9948792077157682,0.017625244570450043,4.576874326652204
Random Sampling,0.6,1,36000,0.9939,0.9938380295492075,0.0177008031119763,4.687362073172985
Random Sampling,0.6,2,36000,0.9938,0.9937657863026113,0.017661521132563203,4.68800095773079
Random Sampling,0.6,3,36000,0.9941,0.994067498983149,0.017716508516123598,4.692788997166593
Random Sampling,0.6,4,36000,0.9944,0.9943587882261584,0.017729463711590836,4.694035493152242
Random Sampling,0.8,0,48000,0.9949,0.9948445194548027,0.01508224135950992,6.259829240096243
Random Sampling,0.8,1,48000,0.9954,0.9953763979790141,0.015426700993588097,6.261194901717337
Random Sampling,0.8,2,48000,0.9952,0.9951855425838602,0.015366649627685547,6.262043536336798
Random Sampling,0.8,3,48000,0.9951,0.9950797800919302,0.015298798209742497,6.263609750647294
Random Sampling,0.8,4,48000,0.9951,0.9950469996482345,0.015219226636384663,6.26400664480109
Random Sampling,1.0,0,60000,0.996,0.9959544077896648,0.012693166732788086,7.822887380583947
Random Sampling,1.0,1,60000,0.995,0.9949773546480138,0.012606188028800386,7.8229438938012645
Random Sampling,1.0,2,60000,0.995,0.9949716296740929,0.012572080147366564,7.825450624738421
Random Sampling,1.0,3,60000,0.9954,0.9953589543020286,0.01260185442050966,7.823133374462609
Random Sampling,1.0,4,60000,0.9953,0.9952695239314293,0.01253983553718118,7.823374734205358
Entropy Sampling,0.2,0,12000,0.9943,0.9942526250594181,1.1442870990089749,1.575492651566215
Entropy Sampling,0.2,1,12000,0.9949,0.9948673367578655,1.136866631715194,1.5725490735924763
Entropy Sampling,0.2,2,12000,0.9936,0.9935308619720701,1.1406265860018523,1.5736660335374915
Entropy Sampling,0.2,3,12000,0.995,0.9949575726285615,1.1450556050176206,1.5710061633068582
Entropy Sampling,0.2,4,12000,0.994,0.9939615460252055,1.1375452435534934,1.5720888635386592
Entropy Sampling,0.4,0,24000,0.9949,0.9948647021777418,1.0146301097058235,3.1294959656735686
Entropy Sampling,0.4,1,24000,0.9954,0.9953359758203639,1.0129840779811778,3.13118521203386
Entropy Sampling,0.4,2,24000,0.9953,0.9952449073023129,1.0151117710357016,3.1291947009715626
Entropy Sampling,0.4,3,24000,0.9949,0.9948663859010219,1.0194470020050699,3.128582365969394
Entropy Sampling,0.4,4,24000,0.9952,0.995158071905563,1.015063722082909,3.129107328171426
Entropy Sampling,0.6,0,36000,0.9958,0.995762214344167,0.8884938972097047,4.688491435118125
Entropy Sampling,0.6,1,36000,0.9947,0.9946615855870229,0.8876243812937132,4.691429269145912
Entropy Sampling,0.6,2,36000,0.9948,0.9947572914862969,0.8898757578621448,4.690422091685551
Entropy Sampling,0.6,3,36000,0.9949,0.9948717623497085,0.8893947802798848,4.691596158793275
Entropy Sampling,0.6,4,36000,0.9942,0.9941674416618154,0.890323282967151,4.6898234226334266
Entropy Sampling,0.8,0,48000,0.9956,0.9955762340239931,0.7612803208200555,6.253789803856297
Entropy Sampling,0.8,1,48000,0.9953,0.995254189180496,0.7608079031894082,6.2546272001768415
Entropy Sampling,0.8,2,48000,0.9952,0.995179198960067,0.7603548727537456,6.254734834871794
Entropy Sampling,0.8,3,48000,0.996,0.9959699169237435,0.7626940752330579,6.255200910568237
Entropy Sampling,0.8,4,48000,0.9954,0.9953695568707044,0.762873333378842,6.252631614082738
Entropy Sampling,1.0,0,60000,0.9958,0.9957912932259543,0.6350488863071474,7.816631860091906
Entropy Sampling,1.0,1,60000,0.9952,0.995161008645643,0.6353668164806205,7.819736069991809
Entropy Sampling,1.0,2,60000,0.9953,0.9952764833023453,0.6328839233943394,7.817963449894881
Entropy Sampling,1.0,3,60000,0.9953,0.9952544430341007,0.6337765966142926,7.816403555269001
Entropy Sampling,1.0,4,60000,0.9961,0.9960651364464264,0.6351872392061377,7.8143828115543394
Margin Sampling,0.2,0,12000,0.9946,0.9945459539831665,1.1407893533292024,1.5746949548306672
Margin Sampling,0.2,1,12000,0.9949,0.9948699780481656,1.1437270226685896,1.5735281446705693
Margin Sampling,0.2,2,12000,0.9941,0.9940466084268561,1.1436942867610767,1.5716661888620127
Margin Sampling,0.2,3,12000,0.994,0.9939657018528821,1.140644291172857,1.5725297409555186
Margin Sampling,0.2,4,12000,0.9938,0.9937531139916155,1.1405148713485054,1.5722331586091414
Margin Sampling,0.4,0,24000,0.9949,0.9948465812188033,1.0144029323090897,3.130766493208865
Margin Sampling,0.4,1,24000,0.9947,0.9946401862409141,1.0166746403308624,3.1317636915977967
Margin Sampling,0.4,2,24000,0.996,0.9959553515499817,1.0152402837225731,3.130596384089044
Margin Sampling,0.4,3,24000,0.9955,0.9954800327847169,1.015314518137181,3.1316180939370013
Margin Sampling,0.4,4,24000,0.9951,0.9950567460514737,1.0147477261563564,3.13191364673858
Margin Sampling,0.6,0,36000,0.9957,0.9956454358007321,0.889242131945113,4.6911021454233515
Margin Sampling,0.6,1,36000,0.9948,0.9947553182630978,0.8893824866120245,4.693634258189672
Margin Sampling,0.6,2,36000,0.9954,0.9953664352073313,0.8885201333274304,4.691859168066105
Margin Sampling,0.6,3,36000,0.995,0.9949606373040787,0.8898458044293901,4.690554702785653
Margin Sampling,0.6,4,36000,0.9943,0.9942640252375033,0.8898675777542759,4.6893980100121295
Margin Sampling,0.8,0,48000,0.9958,0.99576600535921,0.7600073939875552,6.25116824099892
Margin Sampling,0.8,1,48000,0.9942,0.9941551935758092,0.7609784502732126,6.252322415301674
Margin Sampling,0.8,2,48000,0.9956,0.995595340579273,0.7611712029105738,6.250222974074514
Margin Sampling,0.8,3,48000,0.9963,0.9962820715845468,0.7609129127703215,6.250616221678884
Margin Sampling,0.8,4,48000,0.996,0.9959707547561629,0.7609030497701544,6.251265011335674
Margin Sampling,1.0,0,60000,0.995,0.9949608867744125,0.6340475282749208,7.811847095729924
Margin Sampling,1.0,1,60000,0.9953,0.9952725550027461,0.6331881174520284,7.815578160165739
Margin Sampling,1.0,2,60000,0.9954,0.9953689554769307,0.6330480014576632,7.811882031064074
Margin Sampling,1.0,3,60000,0.9954,0.9953580533740085,0.6332973372034666,7.8153559680746385
Margin Sampling,1.0,4,60000,0.9956,0.9955599981017086,0.6338420615476721,7.818596036494279
Least Confidence,0.2,0,12000,0.9948,0.9947289176806701,1.1434449112933616,1.5751604722893757
Least Confidence,0.2,1,12000,0.9945,0.9944603523406531,1.1446349620819092,1.5751182514688242
Least Confidence,0.2,2,12000,0.9937,0.993644471853503,1.1441616908363674,1.5768983882406484
Least Confidence,0.2,3,12000,0.994,0.993935274909233,1.1413327611011008,1.5745848883753237
Least Confidence,0.2,4,12000,0.994,0.9939335549379915,1.1414435220801311,1.5771766019904094
Least Confidence,0.4,0,24000,0.995,0.9949547542877302,1.0147875775682165,3.1335660599647683
Least Confidence,0.4,1,24000,0.9948,0.9947459401900801,1.0131753048998244,3.135296994067253
Least Confidence,0.4,2,24000,0.9956,0.9955504141312647,1.0156851423547624,3.134831037927181
Least Confidence,0.4,3,24000,0.9956,0.9955455337037404,1.0133061003177724,3.135941114831478
Least Confidence,0.4,4,24000,0.9954,0.995364667878956,1.0153594017028809,3.135898290796483
Least Confidence,0.6,0,36000,0.9953,0.9952554651138138,0.8879807633413396,4.701802354463389
Least Confidence,0.6,1,36000,0.9948,0.9947802552292891,0.8897561388955989,4.690699594121583
Least Confidence,0.6,2,36000,0.9947,0.9946416732037987,0.889034069759745,4.658772394690715
Least Confidence,0.6,3,36000,0.9954,0.9953986445690607,0.8860409394116469,4.655622804668588
Least Confidence,0.6,4,36000,0.9945,0.9944545770882633,0.8871841061283166,4.673454983133666
Least Confidence,0.8,0,48000,0.9958,0.9957729090522989,0.7601352566166928,6.232144503844411
Least Confidence,0.8,1,48000,0.9955,0.9954855553381078,0.7600659119455437,6.239206316596583
Least Confidence,0.8,2,48000,0.9957,0.9956841037318576,0.7595507019444516,6.242821083570782
Least Confidence,0.8,3,48000,0.9957,0.9956678053810014,0.7614352703094482,6.243729395615427
Least Confidence,0.8,4,48000,0.9953,0.995272184148369,0.7604659733019377,6.248158133657355
Least Confidence,1.0,0,60000,0.9951,0.9950692987711285,0.6334390960821584,7.803194468762694
Least Confidence,1.0,1,60000,0.9956,0.9955727504554444,0.6322290676982463,7.794419334716156
Least Confidence,1.0,2,60000,0.9961,0.9960644463428505,0.6342534257584259,7.7884168003787515
Least Confidence,1.0,3,60000,0.9955,0.9954511806154089,0.6328879424503872,7.78956742847667
Least Confidence,1.0,4,60000,0.9955,0.9954695871777863,0.6323033941894018,7.778446287668052
