classifier,strategy,budget_pct,run,n_labeled,accuracy,f1_score,avg_query_time,avg_train_time
Neural Network,Random Sampling,0.2,0,1311,0.5286585365853659,0.1820006099244826,0.0005404154459635416,2.0465989907582602
Neural Network,Random Sampling,0.2,1,1311,0.5439024390243903,0.18621434536297798,0.00048271814982096356,0.7287752628326416
Neural Network,Random Sampling,0.2,2,1311,0.5323170731707317,0.17111722203382157,0.0004893938700358073,0.7029047012329102
Neural Network,Random Sampling,0.2,3,1311,0.5310975609756098,0.16524610992718713,0.000499725341796875,0.7829893430074056
Neural Network,Random Sampling,0.2,4,1311,0.5237804878048781,0.17574697331972308,0.0004736582438151042,0.7059342861175537
Neural Network,Random Sampling,0.4,0,2623,0.5329268292682927,0.1812299465632223,0.0005124409993489584,1.0091866254806519
Neural Network,Random Sampling,0.4,1,2623,0.5396341463414634,0.1780857278428551,0.0008443196614583334,1.3752094904581706
Neural Network,Random Sampling,0.4,2,2623,0.5402439024390244,0.18915685466031384,0.000931700070699056,1.0424826939900715
Neural Network,Random Sampling,0.4,3,2623,0.5378048780487805,0.1785999349822783,0.0004883607228597006,0.9510573546091715
Neural Network,Random Sampling,0.4,4,2623,0.5341463414634147,0.16653717483693678,0.0004562536875406901,0.9406164884567261
Neural Network,Random Sampling,0.6,0,3935,0.5390243902439025,0.17584519568460003,0.00046762824058532715,1.1402490735054016
Neural Network,Random Sampling,0.6,1,3935,0.5378048780487805,0.17263337184729918,0.0004487335681915283,1.121464729309082
Neural Network,Random Sampling,0.6,2,3935,0.5384146341463415,0.17043432853927928,0.0005568265914916992,1.1669743955135345
Neural Network,Random Sampling,0.6,3,3935,0.5402439024390244,0.18261926182454688,0.00046771764755249023,1.0701598823070526
Neural Network,Random Sampling,0.6,4,3935,0.5426829268292683,0.18418891422780925,0.00044789910316467285,1.0672121047973633
Neural Network,Random Sampling,0.8,0,5247,0.551219512195122,0.18337354020095611,0.0005313049663196911,1.4101964343677869
Neural Network,Random Sampling,0.8,1,5247,0.5481707317073171,0.1862685608549125,0.0004155419089577415,1.417856216430664
Neural Network,Random Sampling,0.8,2,5247,0.5365853658536586,0.16038118440852728,0.00038333372636274856,1.4201430840925737
Neural Network,Random Sampling,0.8,3,5247,0.5451219512195122,0.18739958342315088,0.00040607018904252487,1.4136596159501509
Neural Network,Random Sampling,0.8,4,5247,0.5347560975609756,0.16569012963182148,0.00044504078951748937,1.2688104022632947
Neural Network,Random Sampling,1.0,0,6559,0.5390243902439025,0.1738861196873042,0.00034821950472318207,1.4479273282564604
Neural Network,Random Sampling,1.0,1,6559,0.5493902439024391,0.18265865164221562,0.00044470566969651444,1.5430387900425837
Neural Network,Random Sampling,1.0,2,6559,0.5445121951219513,0.1859744928074788,0.00039170338557316706,1.603906851548415
Neural Network,Random Sampling,1.0,3,6559,0.5463414634146342,0.18311694967333456,0.0003357483790471004,1.6824218860039344
Neural Network,Random Sampling,1.0,4,6559,0.5475609756097561,0.18154343059084926,0.00038135968721829925,1.6766464526836689
Neural Network,Entropy Sampling,0.2,0,1311,0.48597560975609755,0.18441536693829644,0.017435153325398762,0.6346350510915121
Neural Network,Entropy Sampling,0.2,1,1311,0.5042682926829268,0.1736458206849774,0.017170270284016926,0.6467977364857992
Neural Network,Entropy Sampling,0.2,2,1311,0.5152439024390244,0.16426081749560179,0.01859251658121745,0.6729077498118082
Neural Network,Entropy Sampling,0.2,3,1311,0.4524390243902439,0.16511520200861776,0.01644110679626465,0.6360700925191244
Neural Network,Entropy Sampling,0.2,4,1311,0.4902439024390244,0.18096890944412136,0.016242345174153645,0.6385633945465088
Neural Network,Entropy Sampling,0.4,0,2623,0.5335365853658537,0.17013399700339604,0.015042742093404135,0.8900543053944906
Neural Network,Entropy Sampling,0.4,1,2623,0.5158536585365854,0.17099904441458358,0.014758825302124023,0.8754111925760905
Neural Network,Entropy Sampling,0.4,2,2623,0.5487804878048781,0.19209468170356242,0.01587378978729248,0.848227063814799
Neural Network,Entropy Sampling,0.4,3,2623,0.5134146341463415,0.1474712139044638,0.015145301818847656,0.8649434248606364
Neural Network,Entropy Sampling,0.4,4,2623,0.5365853658536586,0.19251568927525495,0.015834768613179524,0.9099711577097574
Neural Network,Entropy Sampling,0.6,0,3935,0.5432926829268293,0.19198278413149655,0.013534873723983765,1.0556939840316772
Neural Network,Entropy Sampling,0.6,1,3935,0.5426829268292683,0.18651059437616935,0.013454288244247437,1.0941093564033508
Neural Network,Entropy Sampling,0.6,2,3935,0.5463414634146342,0.1963005065208946,0.01333552598953247,1.1133426129817963
Neural Network,Entropy Sampling,0.6,3,3935,0.5548780487804879,0.1981218010859226,0.0130978524684906,1.0716719329357147
Neural Network,Entropy Sampling,0.6,4,3935,0.5451219512195122,0.18070248217714704,0.01287117600440979,1.0551078915596008
Neural Network,Entropy Sampling,0.8,0,5247,0.5469512195121952,0.18397886805056204,0.011266600001942028,1.2925026416778564
Neural Network,Entropy Sampling,0.8,1,5247,0.5445121951219513,0.18840516896985154,0.011601274663751776,1.3778325861150569
Neural Network,Entropy Sampling,0.8,2,5247,0.552439024390244,0.18840422061689827,0.011633092706853693,1.2828840125690808
Neural Network,Entropy Sampling,0.8,3,5247,0.5475609756097561,0.19020734273605946,0.010689692063765093,1.2656146829778498
Neural Network,Entropy Sampling,0.8,4,5247,0.5408536585365854,0.18623481783169493,0.012754505330866034,1.3483625975522129
Neural Network,Entropy Sampling,1.0,0,6559,0.5439024390243903,0.18153934692535023,0.010012975105872521,1.5863302120795617
Neural Network,Entropy Sampling,1.0,1,6559,0.5384146341463415,0.1788298086557429,0.00942835441002479,1.474486754490779
Neural Network,Entropy Sampling,1.0,2,6559,0.5426829268292683,0.18955422696835475,0.00961604485144982,1.555030290897076
Neural Network,Entropy Sampling,1.0,3,6559,0.5493902439024391,0.1841377545326828,0.009375847302950345,1.5507966371682973
Neural Network,Entropy Sampling,1.0,4,6559,0.552439024390244,0.18589607928978932,0.009970793357262244,1.5721248479989858
Neural Network,Margin Sampling,0.2,0,1311,0.5207317073170732,0.1739975125148285,0.017510652542114258,0.6848568916320801
Neural Network,Margin Sampling,0.2,1,1311,0.5164634146341464,0.18383773745231408,0.01572442054748535,0.6472709973653158
Neural Network,Margin Sampling,0.2,2,1311,0.48902439024390243,0.16069491418724605,0.016521215438842773,0.5984733899434408
Neural Network,Margin Sampling,0.2,3,1311,0.48109756097560974,0.167996688949671,0.01618186632792155,0.6201004187266032
Neural Network,Margin Sampling,0.2,4,1311,0.5103658536585366,0.16980707785900043,0.017549514770507812,0.6644087632497152
Neural Network,Margin Sampling,0.4,0,2623,0.5402439024390244,0.1935806097440163,0.014565706253051758,0.8324474891026815
Neural Network,Margin Sampling,0.4,1,2623,0.5390243902439025,0.18253411225064892,0.01374804973602295,0.8309703667958578
Neural Network,Margin Sampling,0.4,2,2623,0.5445121951219513,0.18462789934641405,0.014910697937011719,0.8416182200113932
Neural Network,Margin Sampling,0.4,3,2623,0.5439024390243903,0.18667829562810592,0.01354674498240153,0.824179450670878
Neural Network,Margin Sampling,0.4,4,2623,0.5481707317073171,0.18526775172179766,0.013826290766398111,0.8391067981719971
Neural Network,Margin Sampling,0.6,0,3935,0.5426829268292683,0.1800292782213864,0.013262510299682617,0.9823417365550995
Neural Network,Margin Sampling,0.6,1,3935,0.5439024390243903,0.18601171653767307,0.012257575988769531,0.9923079609870911
Neural Network,Margin Sampling,0.6,2,3935,0.5487804878048781,0.1910692762936188,0.012518256902694702,1.0022339522838593
Neural Network,Margin Sampling,0.6,3,3935,0.5432926829268293,0.187405561659792,0.010795444250106812,0.9685252904891968
Neural Network,Margin Sampling,0.6,4,3935,0.5420731707317074,0.18474878130992053,0.012313544750213623,0.963321715593338
Neural Network,Margin Sampling,0.8,0,5247,0.551829268292683,0.18782716644912967,0.011016867377541283,1.337901765649969
Neural Network,Margin Sampling,0.8,1,5247,0.5536585365853659,0.1906126905155479,0.011730714277787642,1.351267402822321
Neural Network,Margin Sampling,0.8,2,5247,0.5493902439024391,0.1845286442027812,0.010762561451305042,1.3190773833881726
Neural Network,Margin Sampling,0.8,3,5247,0.5487804878048781,0.1930578120463023,0.011990373784845526,1.3861646218733354
Neural Network,Margin Sampling,0.8,4,5247,0.5457317073170732,0.18556382125636395,0.010696692900224165,1.3458874008872292
Neural Network,Margin Sampling,1.0,0,6559,0.5353658536585366,0.17327766054568317,0.011965311490572415,1.620030898314256
Neural Network,Margin Sampling,1.0,1,6559,0.5432926829268293,0.19281434066159694,0.011781747524554912,1.6289446904109075
Neural Network,Margin Sampling,1.0,2,6559,0.5475609756097561,0.197090444492212,0.010760270632230319,1.5857766041388879
Neural Network,Margin Sampling,1.0,3,6559,0.5420731707317074,0.16970402929595163,0.011152304135836087,1.6416219931382399
Neural Network,Margin Sampling,1.0,4,6559,0.5481707317073171,0.18591979758778537,0.00977341945354755,1.5793483624091516
Neural Network,Least Confidence,0.2,0,1311,0.4951219512195122,0.18361623231068064,0.01723027229309082,0.6538925170898438
Neural Network,Least Confidence,0.2,1,1311,0.5134146341463415,0.19313079216542026,0.017762422561645508,0.6931068897247314
Neural Network,Least Confidence,0.2,2,1311,0.49390243902439024,0.1601379178906287,0.016461610794067383,0.647494395573934
Neural Network,Least Confidence,0.2,3,1311,0.5213414634146342,0.18144009207280984,0.016148805618286133,0.6809610525767008
Neural Network,Least Confidence,0.2,4,1311,0.5219512195121951,0.17647099532747046,0.01782544453938802,0.6868576208750407
Neural Network,Least Confidence,0.4,0,2623,0.5414634146341464,0.18984268494454457,0.014630436897277832,0.8468425273895264
Neural Network,Least Confidence,0.4,1,2623,0.5487804878048781,0.18564988309983846,0.013887961705525717,0.8231868743896484
Neural Network,Least Confidence,0.4,2,2623,0.5176829268292683,0.14788262443165784,0.014127810796101889,0.8399910926818848
Neural Network,Least Confidence,0.4,3,2623,0.5335365853658537,0.1780854508408688,0.014843503634134928,0.8349002599716187
Neural Network,Least Confidence,0.4,4,2623,0.5378048780487805,0.19370786785148386,0.014344294865926107,0.8629702726999918
Neural Network,Least Confidence,0.6,0,3935,0.5469512195121952,0.19684256012303697,0.01352393627166748,1.1078539788722992
Neural Network,Least Confidence,0.6,1,3935,0.5481707317073171,0.18054065004887893,0.013591378927230835,1.0715082287788391
Neural Network,Least Confidence,0.6,2,3935,0.5451219512195122,0.18923619502078148,0.013892561197280884,1.0484595000743866
Neural Network,Least Confidence,0.6,3,3935,0.5536585365853659,0.19905770743423482,0.013559579849243164,1.063558042049408
Neural Network,Least Confidence,0.6,4,3935,0.5481707317073171,0.19338665795586188,0.013943374156951904,1.0547595918178558
Neural Network,Least Confidence,0.8,0,5247,0.551219512195122,0.19403035674221328,0.011618050661954012,1.3728456930680708
Neural Network,Least Confidence,0.8,1,5247,0.5493902439024391,0.19151906441213265,0.012565309351140802,1.375925519249656
Neural Network,Least Confidence,0.8,2,5247,0.5481707317073171,0.19096126224104437,0.01116137071089311,1.3525628393346614
Neural Network,Least Confidence,0.8,3,5247,0.5560975609756098,0.1999178507610642,0.011503566395152699,1.377701455896551
Neural Network,Least Confidence,0.8,4,5247,0.5487804878048781,0.19519450278141506,0.011095307090065697,1.3813453370874578
Neural Network,Least Confidence,1.0,0,6559,0.5396341463414634,0.1814759550770279,0.010459533104529748,1.6441858548384447
Neural Network,Least Confidence,1.0,1,6559,0.5463414634146342,0.19741938780914164,0.010431454731867863,1.6007665304037242
Neural Network,Least Confidence,1.0,2,6559,0.5487804878048781,0.20002187572033436,0.009302744498619666,1.5217476257911096
Neural Network,Least Confidence,1.0,3,6559,0.5384146341463415,0.16311222105141898,0.009790677290696364,1.525370561159574
Neural Network,Least Confidence,1.0,4,6559,0.5536585365853659,0.19197734885080783,0.010532379150390625,1.5696579126211314
Naive Bayes,Random Sampling,0.2,0,1311,0.06402439024390244,0.06397680658369592,0.0005348523457845052,0.0030150413513183594
Naive Bayes,Random Sampling,0.2,1,1311,0.06585365853658537,0.06261132907959649,0.00043463706970214844,0.002233266830444336
Naive Bayes,Random Sampling,0.2,2,1311,0.056707317073170734,0.0539002780037636,0.0005241235097249349,0.0021034876505533853
Naive Bayes,Random Sampling,0.2,3,1311,0.04878048780487805,0.05809023137525615,0.0004227161407470703,0.0022379557291666665
Naive Bayes,Random Sampling,0.2,4,1311,0.05060975609756098,0.05003924020270333,0.00037932395935058594,0.0018318494160970051
Naive Bayes,Random Sampling,0.4,0,2623,0.039634146341463415,0.03472178583618188,0.00034360090891520184,0.0020559231440226236
Naive Bayes,Random Sampling,0.4,1,2623,0.03780487804878049,0.04075198598038004,0.00048545996348063153,0.0030938386917114258
Naive Bayes,Random Sampling,0.4,2,2623,0.03780487804878049,0.03265713849812991,0.00035329659779866535,0.0024353663126627603
Naive Bayes,Random Sampling,0.4,3,2623,0.03475609756097561,0.03847418524023685,0.00041035811106363934,0.0027665297190348306
Naive Bayes,Random Sampling,0.4,4,2623,0.028658536585365855,0.025189455788761486,0.0004456837972005208,0.002850492795308431
Naive Bayes,Random Sampling,0.6,0,3935,0.026829268292682926,0.03182115105053088,0.0004096031188964844,0.003127366304397583
Naive Bayes,Random Sampling,0.6,1,3935,0.02804878048780488,0.029228068348446157,0.0003987252712249756,0.002918839454650879
Naive Bayes,Random Sampling,0.6,2,3935,0.024390243902439025,0.022737783727114127,0.00037479400634765625,0.002740204334259033
Naive Bayes,Random Sampling,0.6,3,3935,0.024390243902439025,0.023873980576548395,0.0003495216369628906,0.0026694536209106445
Naive Bayes,Random Sampling,0.6,4,3935,0.029878048780487804,0.027946766843622444,0.00037276744842529297,0.002922147512435913
Naive Bayes,Random Sampling,0.8,0,5247,0.025,0.02434956234673787,0.0003868449818004261,0.003837607123635032
Naive Bayes,Random Sampling,0.8,1,5247,0.02621951219512195,0.031036989038730985,0.00041276758367365056,0.00391951474276456
Naive Bayes,Random Sampling,0.8,2,5247,0.026829268292682926,0.025162804129786484,0.0003881671211936257,0.0035453492944890804
Naive Bayes,Random Sampling,0.8,3,5247,0.025,0.02575532896573023,0.0003920901905406605,0.0035889798944646664
Naive Bayes,Random Sampling,0.8,4,5247,0.028658536585365855,0.028184344262724877,0.0003429976376620206,0.003330642526799982
Naive Bayes,Random Sampling,1.0,0,6559,0.02621951219512195,0.028906239510391823,0.0003329790555513822,0.003916226900540865
Naive Bayes,Random Sampling,1.0,1,6559,0.02621951219512195,0.028906239510391823,0.00034181888286884013,0.0036766712482158956
Naive Bayes,Random Sampling,1.0,2,6559,0.02621951219512195,0.028906239510391823,0.0003578479473407452,0.00413203239440918
Naive Bayes,Random Sampling,1.0,3,6559,0.02621951219512195,0.028906239510391823,0.00034462488614595856,0.004513282042283278
Naive Bayes,Random Sampling,1.0,4,6559,0.02621951219512195,0.028906239510391823,0.00030205799983097956,0.003429852999173678
Naive Bayes,Entropy Sampling,0.2,0,1311,0.0701219512195122,0.07179854428838264,0.030751148859659832,0.002285162607828776
Naive Bayes,Entropy Sampling,0.2,1,1311,0.08475609756097562,0.07036326455781687,0.03299570083618164,0.0019744237263997397
Naive Bayes,Entropy Sampling,0.2,2,1311,0.1024390243902439,0.06301336236034359,0.022025505701700848,0.0020470619201660156
Naive Bayes,Entropy Sampling,0.2,3,1311,0.1701219512195122,0.11544026896401448,0.021845658620198567,0.001829226811726888
Naive Bayes,Entropy Sampling,0.2,4,1311,0.0524390243902439,0.04726004361918374,0.02129538853963216,0.002238670984903971
Naive Bayes,Entropy Sampling,0.4,0,2623,0.05731707317073171,0.06628339449563857,0.018954118092854817,0.002554734547932943
Naive Bayes,Entropy Sampling,0.4,1,2623,0.056707317073170734,0.038590175761908534,0.018076737721761067,0.0030680100123087564
Naive Bayes,Entropy Sampling,0.4,2,2623,0.10121951219512196,0.059857064917262774,0.017154892285664875,0.0028395255406697593
Naive Bayes,Entropy Sampling,0.4,3,2623,0.12682926829268293,0.07922160394535677,0.01745792229970296,0.002810319264729818
Naive Bayes,Entropy Sampling,0.4,4,2623,0.04939024390243903,0.04582073744024354,0.01912538210550944,0.003187100092569987
Naive Bayes,Entropy Sampling,0.6,0,3935,0.05,0.05379131179150297,0.012466251850128174,0.002825528383255005
Naive Bayes,Entropy Sampling,0.6,1,3935,0.06097560975609756,0.051486938055748686,0.013546466827392578,0.003008127212524414
Naive Bayes,Entropy Sampling,0.6,2,3935,0.09268292682926829,0.06056589422361025,0.018313884735107422,0.0031336545944213867
Naive Bayes,Entropy Sampling,0.6,3,3935,0.1152439024390244,0.07902254821613101,0.015117824077606201,0.0030863285064697266
Naive Bayes,Entropy Sampling,0.6,4,3935,0.04695121951219512,0.044636627050174404,0.014225989580154419,0.0032121241092681885
Naive Bayes,Entropy Sampling,0.8,0,5247,0.05,0.05188113663306588,0.010760068893432617,0.003608725287697532
Naive Bayes,Entropy Sampling,0.8,1,5247,0.042682926829268296,0.03275356378926176,0.011589548804543236,0.003571618687022816
Naive Bayes,Entropy Sampling,0.8,2,5247,0.09024390243902439,0.05918871726370581,0.011516787789084694,0.003633672540838068
Naive Bayes,Entropy Sampling,0.8,3,5247,0.11036585365853659,0.0741941716785053,0.012088970704512163,0.0035647262226451526
Naive Bayes,Entropy Sampling,0.8,4,5247,0.060365853658536583,0.05674445792975386,0.012811400673606178,0.0039927742697975855
Naive Bayes,Entropy Sampling,1.0,0,6559,0.02621951219512195,0.028906239510391823,0.010820352114163913,0.00425883439870981
Naive Bayes,Entropy Sampling,1.0,1,6559,0.02621951219512195,0.028906239510391823,0.011654798801128682,0.004707739903376653
Naive Bayes,Entropy Sampling,1.0,2,6559,0.02621951219512195,0.028906239510391823,0.011559614768395057,0.004488596549400916
Naive Bayes,Entropy Sampling,1.0,3,6559,0.02621951219512195,0.028906239510391823,0.013286975713876577,0.004538095914400541
Naive Bayes,Entropy Sampling,1.0,4,6559,0.02621951219512195,0.028906239510391823,0.010257372489342323,0.004017132979172926
Naive Bayes,Margin Sampling,0.2,0,1311,0.06951219512195123,0.07272826799013202,0.0193021297454834,0.0019540786743164062
Naive Bayes,Margin Sampling,0.2,1,1311,0.09024390243902439,0.08421295582137472,0.020721276601155598,0.0017580191294352214
Naive Bayes,Margin Sampling,0.2,2,1311,0.1024390243902439,0.06187476039498316,0.025806109110514324,0.002278884251912435
Naive Bayes,Margin Sampling,0.2,3,1311,0.14878048780487804,0.10334689363996714,0.02422944704691569,0.002701441446940104
Naive Bayes,Margin Sampling,0.2,4,1311,0.0524390243902439,0.04726004361918374,0.024144808451334637,0.0022257169087727866
Naive Bayes,Margin Sampling,0.4,0,2623,0.05853658536585366,0.05932322758125033,0.015665253003438313,0.0030193328857421875
Naive Bayes,Margin Sampling,0.4,1,2623,0.06463414634146342,0.05178394561364548,0.01857296625773112,0.003325382868448893
Naive Bayes,Margin Sampling,0.4,2,2623,0.10121951219512196,0.059857064917262774,0.01811083157857259,0.0026830832163492837
Naive Bayes,Margin Sampling,0.4,3,2623,0.1225609756097561,0.07398592815792014,0.017905553181966145,0.0030853748321533203
Naive Bayes,Margin Sampling,0.4,4,2623,0.04939024390243903,0.04582073744024354,0.01604751745859782,0.0038857062657674155
Naive Bayes,Margin Sampling,0.6,0,3935,0.05426829268292683,0.05582997832705407,0.014903813600540161,0.0035026073455810547
Naive Bayes,Margin Sampling,0.6,1,3935,0.07378048780487804,0.06664483194237888,0.013518214225769043,0.0029116570949554443
Naive Bayes,Margin Sampling,0.6,2,3935,0.09268292682926829,0.06056589422361025,0.015040218830108643,0.003219693899154663
