classifier,budget_pct,strategy,baseline_mean,baseline_std,strategy_mean,strategy_std,improvement,improvement_pct,wilcoxon_statistic,p_value,cliffs_delta,effect_size,n_samples,p_value_corrected,significant
Neural Network,0.2,Entropy Sampling,0.1760650521136385,0.007481586818832185,0.17368122331432295,0.00812962764967624,-0.002383828799315535,-1.3539477430063345,5.0,0.78125,-0.28,small,5,1.0,False
Neural Network,0.2,Margin Sampling,0.1760650521136385,0.007481586818832185,0.17126678619261199,0.007616750539646116,-0.004798265921026501,-2.7252801526617185,2.0,0.9375,-0.36,medium,5,1.0,False
Neural Network,0.2,Least Confidence,0.1760650521136385,0.007481586818832185,0.17895920595340198,0.010854571595925984,0.0028941538397634914,1.6437980195499013,11.0,0.21875,0.2,small,5,1.0,False
Neural Network,0.4,Entropy Sampling,0.17872192777712126,0.007267264878903194,0.17464292526025219,0.016708738409214406,-0.0040790025168690736,-2.2823178820876837,5.0,0.78125,-0.04,negligible,5,1.0,False
Neural Network,0.4,Margin Sampling,0.17872192777712126,0.007267264878903194,0.18653773373819657,0.0037659306106143675,0.007815805961075312,4.373165653641655,13.0,0.09375,0.68,large,5,1.0,False
Neural Network,0.4,Least Confidence,0.17872192777712126,0.007267264878903194,0.1790337022336787,0.016414797726489554,0.0003117744565574454,0.17444667279229997,9.0,0.40625,0.2,small,5,1.0,False
Neural Network,0.6,Entropy Sampling,0.17714421442470693,0.005415933130811139,0.19072363365832604,0.0064123791080662245,0.013579419233619106,7.665742444775625,14.0,0.0625,0.84,large,5,1.0,False
Neural Network,0.6,Margin Sampling,0.17714421442470693,0.005415933130811139,0.18585292280447818,0.0035994502707658023,0.008708708379771252,4.916168675366356,15.0,0.03125,0.84,large,5,1.0,False
Neural Network,0.6,Least Confidence,0.17714421442470693,0.005415933130811139,0.1918127541165588,0.006541627583715227,0.014668539691851862,8.280563799099717,15.0,0.03125,0.84,large,5,1.0,False
Neural Network,0.8,Entropy Sampling,0.17662259970387365,0.011296597849620858,0.18744608364101323,0.0021424832197250855,0.010823483937139583,6.12802889057589,15.0,0.03125,0.68,large,5,1.0,False
Neural Network,0.8,Margin Sampling,0.17662259970387365,0.011296597849620858,0.188318026894025,0.0031596537239790617,0.011695427190151347,6.621704815669094,15.0,0.03125,0.68,large,5,1.0,False
Neural Network,0.8,Least Confidence,0.17662259970387365,0.011296597849620858,0.1943246073875739,0.0032034617161859685,0.017702007683700255,10.02250431902799,15.0,0.03125,1.0,large,5,1.0,False
Neural Network,1.0,Entropy Sampling,0.18143592888023646,0.0040479777629978345,0.18399144327438402,0.003667392976016881,0.0025555143941475567,1.4084941223711094,12.0,0.15625,0.2,small,5,1.0,False
Neural Network,1.0,Margin Sampling,0.18143592888023646,0.0040479777629978345,0.18376125451664582,0.010693888963290482,0.002325325636409359,1.2816235740961077,9.0,0.40625,0.12,negligible,5,1.0,False
Neural Network,1.0,Least Confidence,0.18143592888023646,0.0040479777629978345,0.18680135770174616,0.013445078302261892,0.005365428821509699,2.9572030493758215,10.0,0.3125,0.28,small,5,1.0,False
Naive Bayes,0.2,Entropy Sampling,0.05772357704900309,0.005230565615262158,0.07357509675794827,0.022672436586234156,0.015851519708945175,27.461083528292775,14.0,0.0625,0.52,large,5,1.0,False
Naive Bayes,0.2,Margin Sampling,0.05772357704900309,0.005230565615262158,0.07388458429312815,0.01912664128397812,0.01616100724412506,27.997237992381425,14.0,0.0625,0.44,medium,5,1.0,False
Naive Bayes,0.2,Least Confidence,0.05772357704900309,0.005230565615262158,0.07150027033733668,0.018372680992882248,0.013776693288333586,23.866665914758162,14.0,0.0625,0.44,medium,5,1.0,False
Naive Bayes,0.4,Entropy Sampling,0.03435891026873803,0.005383558422509779,0.05795459531208204,0.014474012532919469,0.023595685043344007,68.67413680698976,14.0,0.0625,0.92,large,5,1.0,False
Naive Bayes,0.4,Margin Sampling,0.03435891026873803,0.005383558422509779,0.05815418074206445,0.009461547764888986,0.02379527047332642,69.2550208583795,15.0,0.03125,1.0,large,5,1.0,False
Naive Bayes,0.4,Least Confidence,0.03435891026873803,0.005383558422509779,0.05276939036976026,0.008928239915647939,0.018410480101022232,53.5828405412883,14.0,0.0625,0.92,large,5,1.0,False
Naive Bayes,0.6,Entropy Sampling,0.0271215501092524,0.0033754634147304535,0.05790066386743346,0.011723436162254396,0.030779113758181063,113.48582081110807,15.0,0.03125,1.0,large,5,1.0,False
Naive Bayes,0.6,Margin Sampling,0.0271215501092524,0.0033754634147304535,0.054566127065587944,0.008610294421622457,0.027444576956335544,101.19103386709799,15.0,0.03125,1.0,large,5,1.0,False
Naive Bayes,0.6,Least Confidence,0.0271215501092524,0.0033754634147304535,0.05536470047582533,0.006780837152821695,0.028243150366572933,104.13545779206,15.0,0.03125,1.0,large,5,1.0,False
Naive Bayes,0.8,Entropy Sampling,0.026897805748742086,0.0024329836789194485,0.05495240945885852,0.01336880414016079,0.028054603710116435,104.3007149809179,15.0,0.03125,1.0,large,5,1.0,False
Naive Bayes,0.8,Margin Sampling,0.026897805748742086,0.0024329836789194485,0.054733324633434034,0.010935502006174219,0.027835518884691948,103.48620681073109,15.0,0.03125,1.0,large,5,1.0,False
Naive Bayes,0.8,Least Confidence,0.026897805748742086,0.0024329836789194485,0.04992920570959631,0.011562243713391963,0.023031399960854224,85.6255717510761,15.0,0.03125,1.0,large,5,1.0,False
Naive Bayes,1.0,Entropy Sampling,0.028906239510391823,0.0,0.028906239510391823,0.0,0.0,0.0,0.0,1.0,0.0,negligible,5,1.0,False
Naive Bayes,1.0,Margin Sampling,0.028906239510391823,0.0,0.028906239510391823,0.0,0.0,0.0,0.0,1.0,0.0,negligible,5,1.0,False
Naive Bayes,1.0,Least Confidence,0.028906239510391823,0.0,0.028906239510391823,0.0,0.0,0.0,0.0,1.0,0.0,negligible,5,1.0,False
Random Forest,0.2,Entropy Sampling,0.22386644796189467,0.012217245936575735,0.22666225891211694,0.016650254328594613,0.0027958109502222717,1.248874485513863,8.0,0.5,-0.12,negligible,5,1.0,False
Random Forest,0.2,Margin Sampling,0.22386644796189467,0.012217245936575735,0.22299498723236763,0.012980123143352732,-0.0008714607295270405,-0.38927706115003696,7.0,0.59375,0.04,negligible,5,1.0,False
Random Forest,0.2,Least Confidence,0.22386644796189467,0.012217245936575735,0.22146211948775693,0.011816193991883066,-0.00240432847413774,-1.0740012610317522,6.0,0.6875,-0.12,negligible,5,1.0,False
Random Forest,0.4,Entropy Sampling,0.22300876063614541,0.013719265737395207,0.22517336734653132,0.009815283277095889,0.0021646067103859024,0.9706375230332819,9.0,0.40625,0.04,negligible,5,1.0,False
Random Forest,0.4,Margin Sampling,0.22300876063614541,0.013719265737395207,0.22675587244128748,0.005339926510438776,0.0037471118051420615,1.6802531857731544,9.0,0.40625,0.12,negligible,5,1.0,False
Random Forest,0.4,Least Confidence,0.22300876063614541,0.013719265737395207,0.23085776322432042,0.016826735128941686,0.007849002588175003,3.5195938337961556,11.0,0.21875,0.28,small,5,1.0,False
Random Forest,0.6,Entropy Sampling,0.2219903092033053,0.009557395469257957,0.2290990828617593,0.008145289286909047,0.0071087736584539984,3.2022900837277413,12.0,0.15625,0.28,small,5,1.0,False
Random Forest,0.6,Margin Sampling,0.2219903092033053,0.009557395469257957,0.2268798481377785,0.008453109416471684,0.004889538934473192,2.202591163560751,10.0,0.3125,0.2,small,5,1.0,False
Random Forest,0.6,Least Confidence,0.2219903092033053,0.009557395469257957,0.22767850812713436,0.004308704630941178,0.0056881989238290465,2.5623636203955305,10.0,0.3125,0.36,medium,5,1.0,False
Random Forest,0.8,Entropy Sampling,0.22352837423248656,0.003803621307555631,0.2283379642357916,0.007507133247641817,0.004809590003305053,2.151668672856142,10.0,0.3125,0.44,medium,5,1.0,False
Random Forest,0.8,Margin Sampling,0.22352837423248656,0.003803621307555631,0.22524386087824247,0.009294721927119949,0.0017154866457559093,0.7674581142757618,9.0,0.40625,-0.12,negligible,5,1.0,False
Random Forest,0.8,Least Confidence,0.22352837423248656,0.003803621307555631,0.2273554601416789,0.011387564610345216,0.0038270859091923404,1.7121253274145316,10.0,0.3125,0.28,small,5,1.0,False
Random Forest,1.0,Entropy Sampling,0.23150476188368158,0.0017065612231230054,0.23148167266830066,0.0036832863696191973,-2.3089215380911465e-05,-0.009973537992498198,9.0,0.40625,0.12,negligible,5,1.0,False
Random Forest,1.0,Margin Sampling,0.23150476188368158,0.0017065612231230054,0.23016417386942806,0.0035556047389134204,-0.0013405880142535187,-0.5790757837314339,5.0,0.78125,-0.2,small,5,1.0,False
Random Forest,1.0,Least Confidence,0.23150476188368158,0.0017065612231230054,0.23044208389275064,0.0013519526286738485,-0.0010626779909309325,-0.4590307267480182,3.0,0.90625,-0.2,small,5,1.0,False
Logistic Regression,0.2,Entropy Sampling,0.18166913984983332,0.005027279487729443,0.17921242995566777,0.01605267670307624,-0.0024567098941655485,-1.352298962936826,7.0,0.59375,-0.12,negligible,5,1.0,False
Logistic Regression,0.2,Margin Sampling,0.18166913984983332,0.005027279487729443,0.17545699026061704,0.013517404569782374,-0.006212149589216287,-3.419485331604044,5.0,0.78125,-0.28,small,5,1.0,False
Logistic Regression,0.2,Least Confidence,0.18166913984983332,0.005027279487729443,0.18451682429781696,0.012519164421147179,0.0028476844479836394,1.5675113837922714,9.0,0.40625,0.04,negligible,5,1.0,False
Logistic Regression,0.4,Entropy Sampling,0.18592050079390313,0.0053920358064273085,0.1842308600042376,0.008455142911895744,-0.0016896407896655197,-0.9087974604470987,6.0,0.6875,-0.2,small,5,1.0,False
Logistic Regression,0.4,Margin Sampling,0.18592050079390313,0.0053920358064273085,0.18800698092505091,0.004906926344467593,0.0020864801311477887,1.1222431750335575,10.0,0.3125,0.36,medium,5,1.0,False
Logistic Regression,0.4,Least Confidence,0.18592050079390313,0.0053920358064273085,0.1859991568945119,0.005405021764530864,7.865610060878159e-05,0.04230630848825734,8.0,0.5,0.04,negligible,5,1.0,False
Logistic Regression,0.6,Entropy Sampling,0.18808317942323335,0.0042256251856913505,0.1812008783571595,0.0067430540965899375,-0.006882301066073848,-3.6591794583538917,3.0,0.90625,-0.6,large,5,1.0,False
Logistic Regression,0.6,Margin Sampling,0.18808317942323335,0.0042256251856913505,0.1835955511838464,0.002942321962050809,-0.004487628239386948,-2.3859806353489392,3.0,0.90625,-0.44,medium,5,1.0,False
Logistic Regression,0.6,Least Confidence,0.18808317942323335,0.0042256251856913505,0.18981003166804103,0.005562372603727014,0.001726852244807675,0.9181322062414914,7.0,0.59375,0.12,negligible,5,1.0,False
Logistic Regression,0.8,Entropy Sampling,0.18757971852014005,0.0032015631771970567,0.19447106987159404,0.0061962346964632665,0.006891351351453995,3.6738254038450777,13.0,0.09375,0.68,large,5,1.0,False
Logistic Regression,0.8,Margin Sampling,0.18757971852014005,0.0032015631771970567,0.1884788003413953,0.0044108144148365365,0.0008990818212552543,0.479306520101597,8.0,0.5,0.2,small,5,1.0,False
Logistic Regression,0.8,Least Confidence,0.18757971852014005,0.0032015631771970567,0.19257716835808958,0.007880216054881128,0.00499744983794953,2.664173865583962,12.0,0.15625,0.36,medium,5,1.0,False
Logistic Regression,1.0,Entropy Sampling,0.18826070977387632,0.0,0.18826070977387632,0.0,0.0,0.0,0.0,1.0,0.0,negligible,5,1.0,False
Logistic Regression,1.0,Margin Sampling,0.18826070977387632,0.0,0.18826070977387632,0.0,0.0,0.0,0.0,1.0,0.0,negligible,5,1.0,False
Logistic Regression,1.0,Least Confidence,0.18826070977387632,0.0,0.18826070977387632,0.0,0.0,0.0,0.0,1.0,0.0,negligible,5,1.0,False
SVM,0.2,Entropy Sampling,0.1629241190302594,0.010541679824615088,0.16046634887979078,0.01464758717393223,-0.0024577701504686356,-1.5085367133470038,8.0,0.5,-0.04,negligible,5,1.0,False
SVM,0.2,Margin Sampling,0.1629241190302594,0.010541679824615088,0.1594933881658236,0.019080656625509375,-0.0034307308644358214,-2.1057231334782553,8.0,0.5,-0.12,negligible,5,1.0,False
SVM,0.2,Least Confidence,0.1629241190302594,0.010541679824615088,0.1630958796329532,0.016378390505533105,0.0001717606026937768,0.10542368049378632,9.0,0.40625,-0.12,negligible,5,1.0,False
SVM,0.4,Entropy Sampling,0.17991550316240063,0.0036708854939055463,0.17416818917928872,0.008873054632088817,-0.005747313983111901,-3.1944517743554828,3.0,0.90625,-0.44,medium,5,1.0,False
SVM,0.4,Margin Sampling,0.17991550316240063,0.0036708854939055463,0.17055907561077296,0.008343606584929338,-0.00935642755162766,-5.2004565405250744,0.0,1.0,-0.76,large,5,1.0,False
SVM,0.4,Least Confidence,0.17991550316240063,0.0036708854939055463,0.1677478750290456,0.00827084248004336,-0.012167628133355035,-6.7629681264165065,0.0,1.0,-0.84,large,5,1.0,False
SVM,0.6,Entropy Sampling,0.18258342919789294,0.005202972480431429,0.18121400909575364,0.006573998690150626,-0.001369420102139307,-0.7500243084245405,6.0,0.6875,-0.04,negligible,5,1.0,False
SVM,0.6,Margin Sampling,0.18258342919789294,0.005202972480431429,0.17574050718807105,0.009260669324400929,-0.006842922009821895,-3.7478329988014396,3.0,0.90625,-0.44,medium,5,1.0,False
SVM,0.6,Least Confidence,0.18258342919789294,0.005202972480431429,0.17943122717685328,0.003833582446340059,-0.003152202021039663,-1.7264447463209547,4.0,0.84375,-0.28,small,5,1.0,False
SVM,0.8,Entropy Sampling,0.18262882331928992,0.004570299916843953,0.18083302919914673,0.004271232645327462,-0.0017957941201431904,-0.9833026832810525,7.0,0.59375,-0.12,negligible,5,1.0,False
SVM,0.8,Margin Sampling,0.18262882331928992,0.004570299916843953,0.17628411475554112,0.006753109121384913,-0.006344708563748802,-3.474100335551278,2.0,0.9375,-0.52,large,5,1.0,False
SVM,0.8,Least Confidence,0.18262882331928992,0.004570299916843953,0.17908930577351836,0.003487446851256759,-0.003539517545771559,-1.9380936050731823,4.0,0.84375,-0.36,medium,5,1.0,False
SVM,1.0,Entropy Sampling,0.17743192991707504,0.0,0.17743192991707504,0.0,0.0,0.0,0.0,1.0,0.0,negligible,5,1.0,False
SVM,1.0,Margin Sampling,0.17743192991707504,0.0,0.17743192991707504,0.0,0.0,0.0,0.0,1.0,0.0,negligible,5,1.0,False
SVM,1.0,Least Confidence,0.17743192991707504,0.0,0.17743192991707504,0.0,0.0,0.0,0.0,1.0,0.0,negligible,5,1.0,False
